   dates/labels,                posterior mean,        posterior 5\% quantile,       posterior 95\% quantile
        2010Jan,        1.1435789778170999e+00,        7.5523131344847627e-01,        1.5217618013868517e+00
        2010Feb,        1.1313237526646027e+00,        7.4171960454388852e-01,        1.5187945414341151e+00
        2010Mar,        1.1535464022250821e+00,        7.6304417893486232e-01,        1.5371766727596423e+00
        2010Apr,        1.1984825503482894e+00,        8.2274059615125594e-01,        1.5724064294248592e+00
        2010May,        1.2737077356668352e+00,        9.0232097544006251e-01,        1.6431526364038689e+00
        2010Jun,        1.3612699298396231e+00,        9.9971715739920342e-01,        1.7239530433601544e+00
        2010Jul,        1.4355187045813795e+00,        1.0712444871613371e+00,        1.7952613857819699e+00
        2010Aug,        1.4564753333489642e+00,        1.0739628832867254e+00,        1.8163206938664196e+00
        2010Sep,        1.4871110759521375e+00,        1.1132671189594987e+00,        1.8579504822944912e+00
        2010Oct,        1.4966804308204336e+00,        1.1249173648159783e+00,        1.8663693819819662e+00
        2010Nov,        1.4888468752159392e+00,        1.1200025443897701e+00,        1.8623084207472971e+00
        2010Dec,        1.5159104976982618e+00,        1.1398405058629137e+00,        1.8888584282781267e+00
        2011Jan,        1.5849436448514971e+00,        1.2097992380618372e+00,        1.9659861241930301e+00
        2011Feb,        1.5960855788724866e+00,        1.2195189164569413e+00,        1.9679124077040768e+00
        2011Mar,        1.6006245086795206e+00,        1.2305193204630882e+00,        1.9752907287113430e+00
        2011Apr,        1.6284954990562681e+00,        1.2521977473829438e+00,        2.0006197227120062e+00
        2011May,        1.6316386221624211e+00,        1.2607548643469038e+00,        2.0130947371777257e+00
        2011Jun,        1.6719920500361054e+00,        1.2969859958533476e+00,        2.0381833619834744e+00
        2011Jul,        1.7154983658546490e+00,        1.3400792108176063e+00,        2.0874727584360926e+00
        2011Aug,        1.7532682261313866e+00,        1.3741992824141955e+00,        2.1269260819057934e+00
        2011Sep,        1.7373388805064705e+00,        1.3657660879034701e+00,        2.1105441728310765e+00
        2011Oct,        1.7415513277609382e+00,        1.3718896476460571e+00,        2.1102254327331451e+00
        2011Nov,        1.7534539278631469e+00,        1.3738721645788701e+00,        2.1194841713412806e+00
        2011Dec,        1.7673708986402299e+00,        1.3930948580745408e+00,        2.1456973317922916e+00
        2012Jan,        1.7841223453694650e+00,        1.4022280074495654e+00,        2.1551797533727566e+00
        2012Feb,        1.7339168865142336e+00,        1.3471343676608711e+00,        2.1137616417804566e+00
        2012Mar,        1.6966533923027509e+00,        1.3201427973729665e+00,        2.0606887437110117e+00
        2012Apr,        1.6642447620743237e+00,        1.2806820919479378e+00,        2.0468402584426002e+00
        2012May,        1.6160424829997657e+00,        1.2418203839277702e+00,        1.9988817225977620e+00
        2012Jun,        1.6190947140262955e+00,        1.2311793974496226e+00,        2.0076591132469730e+00
        2012Jul,        1.5839557132743385e+00,        1.2020353422569272e+00,        1.9673397015872354e+00
        2012Aug,        1.5372782620726926e+00,        1.1554059787764412e+00,        1.9116375500650804e+00
        2012Sep,        1.5243849065269621e+00,        1.1421470930994246e+00,        1.8949830964175334e+00
        2012Oct,        1.4960884605462963e+00,        1.1198725999269925e+00,        1.8737565320594456e+00
        2012Nov,        1.4658697438763753e+00,        1.0788610239670504e+00,        1.8517174000941026e+00
        2012Dec,        1.4535691246831137e+00,        1.0615177254099848e+00,        1.8443650806841845e+00
        2013Jan,        1.3961646070772658e+00,        1.0141304706697554e+00,        1.7886996123847183e+00
        2013Feb,        1.3114141186347772e+00,        9.1163493564990006e-01,        1.6925982918786104e+00
        2013Mar,        1.2770774746989795e+00,        8.8993474696496833e-01,        1.6748651027796768e+00
        2013Apr,        1.1734262037447332e+00,        7.6600201076730379e-01,        1.5533644555555668e+00
